iter	Passed	Remaining
0	1	123
1	2	133
2	6	211
3	7	178
4	9	173
5	10	167
6	12	161
7	13	157
8	15	154
9	16	151
10	18	148
11	19	145
12	21	144
13	23	142
14	24	140
15	26	139
16	27	135
17	28	132
18	30	128
19	31	126
20	32	123
21	34	120
22	35	118
23	36	115
24	37	113
25	39	111
26	40	109
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	91
39	59	89
40	60	87
41	61	84
42	62	82
43	63	81
44	64	79
45	66	77
46	67	75
47	68	74
48	69	72
49	71	71
50	72	69
51	73	67
52	74	66
53	76	64
54	77	63
55	78	61
56	80	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	90	48
65	92	47
66	93	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	127	9
93	129	8
94	130	6
95	132	5
96	133	4
97	135	2
98	137	1
99	139	0
